word,freq
NUMBER,60986
ect,13893
hou,7281
enron,6279
deal,3347
subject,2730
please,2701
com,2693
gas,2629
cc,2377
meter,2357
pm,2325
daren,1897
thanks,1809
hpl,1736
corp,1701
need,1692
volume,1557
forward,1556
know,1469
mmbtu,1345
e,1312
j,1297
day,1264
farmer,1139
let,1099
contract,1091
change,1091
see,1057
get,1051
re,1050
xl,1009
l,1004
price,959
attach,928
new,924
month,919
robert,889
would,874
may,872
question,866
flow,850
call,810
follow,801
sitara,801
ticket,790
texas,753
pec,752
message,731
sale,721
file,717
bob,705
time,699
mail,695
ena,694
make,644
th,632
energy,617
information,608
u,605
purchase,592
go,582
one,579
production,575
want,572
gary,558
also,550
mary,548
use,546
nomination,538
take,534
number,532
work,518
daily,508
original,506
list,501
nom,493
sent,489
service,485
company,473
x,471
melissa,462
well,459
request,457
schedule,454
plant,453
per,453
look,453
issue,444
send,444
back,444
delivery,444
vance,438
houston,438
net,436
receive,432
show,428
teco,427
help,425
system,424
like,422
set,421
p,419
think,416
create,414
report,414
july,414
march,414
april,411
george,404
fuel,400
contact,397
pat,397
ami,394
order,394
transport,391
julie,390
smith,388
could,388
agreement,383
jackie,375
effective,374
email,370
give,367
b,366
point,366
,364
week,362
north,359
aimee,357
date,352
pipeline,351
america,349
lisa,346
rate,345
desk,344
business,342
tap,342
group,337
mark,337
c,335
susan,334
david,333
pay,330
hsc,330
michael,329
name,326
first,324
tenaska,324
activity,322
cotten,321
w,317
provide,314
taylor,313
june,311
base,310
today,310
megan,308
steve,307
friday,305
thank,305
chokshi,304
john,302
include,301
note,295
year,295
find,295
total,294
come,291
management,291
next,291
tom,291
last,290
team,289
product,289
fyi,286
invoice,285
say,285
customer,285
tu,285
allocate,284
january,284
less,280
line,280
problem,277
hplc,276
clynes,276
enter,275
fee,272
graf,267
lloyd,267
plan,267
sure,266
process,265
start,265
utility,265
counterparty,264
october,263
two,262
k,262
currently,261
oil,261
duke,260
co,258
resource,257
term,256
http,256
september,255
end,254
brian,254
check,253
monday,253
regard,251
meeting,250
supply,250
aol,250
na,250
add,249
due,248
lee,247
employee,245
update,244
august,244
transaction,243
spot,242
