word,freq
NUMBER,74108
enron,13084
ect,11414
vince,8441
hou,5568
kaminski,4713
please,4398
com,4394
subject,4249
would,4168
cc,3890
j,3690
pm,3254
forward,2876
thanks,2498
research,2484
time,2480
know,2386
group,2340
work,2244
re,2025
risk,2000
energy,1995
get,1973
may,1947
market,1934
power,1918
model,1918
need,1874
regard,1859
let,1855
like,1815
price,1757
new,1681
shirley,1679
make,1652
u,1626
also,1624
edu,1619
corp,1614
use,1601
look,1594
meeting,1547
e,1545
one,1516
message,1511
information,1507
year,1491
houston,1491
call,1474
week,1431
day,1423
send,1390
management,1376
give,1374
option,1323
mail,1301
business,1300
see,1295
project,1295
contact,1259
take,1258
follow,1248
company,1238
go,1236
th,1224
email,1182
development,1181
communication,1173
think,1170
could,1169
conference,1135
crenshaw,1115
well,1115
help,1077
request,1068
interview,1060
want,1055
question,1051
date,1043
stinson,1041
http,1029
thank,1011
john,1007
university,1005
program,993
good,986
meet,973
schedule,966
,963
finance,963
next,957
fax,945
presentation,942
service,938
number,937
talk,926
best,926
include,923
www,904
provide,901
gas,869
last,863
list,860
p,852
issue,852
state,849
shall,844
phone,843
data,838
resume,837
come,825
team,824
office,823
friday,821
say,812
system,812
rice,807
find,796
london,792
receive,792
ask,790
change,789
process,786
two,784
lon,779
position,774
attach,761
hi,760
available,753
visit,752
back,736
credit,736
dear,730
review,718
first,717
trading,712
opportunity,711
name,708
support,702
student,693
curve,687
april,686
hope,682
interest,680
much,671
financial,671
address,669
copy,665
doc,661
kevin,653
report,649
set,647
cost,646
director,643
plan,639
x,637
base,637
write,634
monday,631
gibner,629
book,628
order,627
na,621
interested,619
file,617
associate,615
great,609
term,602
product,601
offer,601
people,600
school,597
problem,596
original,594
note,591
month,587
way,580
value,576
start,575
today,570
mark,568
derivative,563
sent,560
department,557
c,555
thursday,549
many,547
stanford,544
paper,542
access,539
employee,536
summer,536
free,534
contract,534
discuss,533
morning,531
course,530
end,526
zimin,519
move,516
attend,516
able,515
weather,512
mike,509
mr,509
david,508
ee,507
possible,503
b,500
try,500
comment,498
however,496
industry,493
might,491
long,490
steve,484
detail,483
case,482
manage,480
high,471
point,467
appreciate,466
analysis,466
martin,464
wharton,464
resource,460
var,458
still,457
speak,455
develop,455
form,453
dpc,451
grant,450
real,449
member,447
wednesday,447
feel,446
part,445
since,445
rate,444
december,443
feedback,443
event,438
deal,436
future,436
per,436
vasant,435
decision,435
tuesday,435
soon,434
jeff,432
complete,426
electricity,425
march,424
robert,423
tanya,423
current,421
web,421
leave,420
currently,418
trade,418
site,416
discussion,414
understand,413
manager,413
run,411
result,411
professor,410
christie,405
continue,404
eb,400
g,400
customer,400
dr,399
together,397
person,395
area,394
co,391
sure,389
right,389
join,388
iris,388
put,387
within,386
place,384
california,383
already,380
president,380
etc,380
respond,379
version,379
application,378
dinner,378
unit,375
texas,372
ees,371
update,371
home,369
july,368
candidate,368
operation,366
experience,366
lunch,365
tell,365
agreement,365
another,364
global,364
user,364
mseb,360
due,359
north,358
volatility,358
internet,358
room,357
speaker,357
additional,357
level,357
anjam,357
hold,356
sincerely,355
effort,355
job,355
pricing,354
uk,354
hour,354
r,353
w,353
require,351
center,350
different,349
hello,346
thing,346
type,346
happy,345
return,345
network,344
baylor,343
hear,342
pay,342
tx,341
analyst,341
study,341
bring,337
check,337
structure,335
suggest,334
begin,332
ena,331
html,331
present,329
cera,329
valuation,329
government,329
board,328
engineering,327
even,325
really,324
invite,323
technical,323
seminar,323
michael,321
january,321
america,320
allow,320
lead,319
dale,318
charge,317
keep,315
open,315
several,313
early,313
important,312
believe,312
full,311
lu,310
technology,308
idea,308
cover,307
short,307
expect,307
moore,304
mention,304
confirm,301
investment,301
vkamins,301
richard,298
committee,298
asset,297
performance,297
class,296
molly,296
november,295
approach,294
l,294
corporate,293
create,293
focus,291
increase,291
late,291
article,291
sorry,290
hotel,288
document,287
graduate,287
chris,285
source,285
world,284
add,284
desk,282
purchase,282
seem,282
line,282
software,282
february,280
utility,280
capacity,279
either,279
transaction,279
notice,279
location,278
june,278
id,277
portfolio,276
vice,276
tomorrow,276
topic,276
agree,276
smith,275
afternoon,275
whether,274
supply,274
aol,274
paul,274
october,273
shanbhogue,271
account,271
telephone,269
page,269
bill,268
around,268
india,267
tom,267
firm,266
three,265
approval,264
do,264
v,264
discus,262
plant,261
storage,259
executive,259
sign,259
factor,259
alex,258
response,258
mean,258
k,257
maureen,256
session,256
lot,255
show,254
jim,254
oil,254
inc,253
patrick,253
enronxgate,253
capital,252
test,252
period,251
via,249
berkeley,249
select,248
probably,247
skill,247
large,246
responsibility,246
bank,246
role,246
participate,244
read,244
view,244
ravi,243
close,243
consider,243
jones,243
trip,243
security,243
street,243
chair,242
head,242
link,242
net,242
buy,242
info,241
attached,241
example,241
guy,240
austin,240
key,239
specific,239
arrange,238
europe,237
julie,237
standard,236
license,236
steven,235
tel,235
official,235
general,233
ferc,233
relate,233
european,233
mailto,233
august,233
demand,231
glad,231
computer,230
industrial,229
addition,229
must,229
individual,228
propose,228
reply,228
participation,227
colleague,227
floor,226
final,226
trader,225
assistant,225
natural,225
chapter,225
oct,225
wish,224
invitation,224
something,224
kind,223
non,223
concern,222
yesterday,222
direct,221
fyi,220
everyone,219
sale,219
involve,219
upenn,219
submit,218
yet,218
policy,218
basis,217
design,217
box,216
click,216
commodity,215
payment,215
decide,214
second,213
participant,213
lng,212
contain,212
pjm,212
rac,212
remain,211
share,210
later,209
become,209
masson,208
tamarchenko,208
draft,208
mack,208
public,207
password,207
function,205
apply,205
anything,204
chairman,204
organization,204
else,204
international,204
staff,203
answer,203
senior,202
far,202
weekend,202
responsible,201
spreadsheet,201
agenda,201
ca,201
hedge,201
maharashtra,201
transmission,200
client,200
material,200
reach,200
total,199
thought,198
electric,198
summary,198
sandeep,198
ph,197
along,197
sell,196
september,196
minute,195
recent,195
stay,194
without,194
dabhol,194
directly,193
tool,192
scott,192
confidential,192
immediately,192
requirement,192
load,192
strategy,191
post,191
code,191
kim,190
et,190
correlation,190
step,190
reserve,190
saturday,190
someone,189
hr,189
website,188
series,187
solution,187
rick,187
input,187
quite,186
letter,186
brown,186
simulation,186
auction,186
krishnarao,185
assume,185
yes,184
control,184
bid,184
fit,184
field,184
suggestion,184
hire,184
news,184
paulo,183
american,183
million,183
h,183
bob,182
learn,182
forecast,182
raymond,181
special,181
every,181
database,181
f,180
ok,180
measure,180
mba,180
generation,179
advance,177
ben,177
feb,177
build,176
vincent,175
vacation,175
spread,175
nd,175
status,175
identify,175
fact,175
coordinate,175
anita,175
title,174
upon,174
side,174
pdf,174
de,174
york,173
benefit,173
activity,172
recently,172
appropriate,172
daily,171
content,171
leppard,171
wholesale,171
joe,170
determine,170
nick,170
stephen,169
major,169
background,169
travel,169
ken,168
amount,168
online,168
